facility_id,name,state,city,postcode,latitude,longitude,specialties,description,capability,procedure,equipment,source_urls,numberDoctors,capacity,yearEstablished
FAC-00043,Lucknow Healthcare Center 4,Uttar Pradesh,Lucknow,519093,26.795181183602637,80.43661163272081,Super-specialty,Cancer care hospital with oncology department.,Oncology,"Chemotherapy, radiation therapy",Linear accelerator,https://example.org/facility/43,,,2005
FAC-00044,Patna Healthcare Center 5,Bihar,Patna,378361,20.382571973532627,77.96571254987745,Super-specialty,Cancer care hospital with oncology department.,Oncology,"Chemotherapy, radiation therapy",Linear accelerator,https://example.org/facility/44,12,200 beds,
FAC-00045,Kolkata Healthcare Center 6,West Bengal,Kolkata,299312,22.54722506138582,79.0878528383417,General,Cancer care hospital with oncology department.,Oncology,"Chemotherapy, radiation therapy",Linear accelerator,https://example.org/facility/45,50,50 beds,2005
FAC-00046,Kolkata Healthcare Center 7,West Bengal,Kolkata,796503,29.2077085621804,78.23155409946409,General,Multi-specialty hospital with 24/7 emergency and intensive care unit.,"ICU, Emergency, Surgery","Emergency surgery, ventilator support","Ventilators, defibrillator, CT scan",https://example.org/facility/46,12,100 beds,2015
FAC-00047,Lucknow Healthcare Center 8,Uttar Pradesh,Lucknow,831076,22.95655202525947,73.27287799059154,,Primary health center with basic outpatient services.,General medicine,Outpatient consultation,,https://example.org/facility/47,25,50 beds,2005
FAC-00048,Kolkata Healthcare Center 9,West Bengal,Kolkata,974224,20.004059396972874,74.86913716868928,,Cancer care hospital with oncology department.,Oncology,"Chemotherapy, radiation therapy",Linear accelerator,https://example.org/facility/48,50,100 beds,2015
FAC-00049,Chennai Healthcare Center 10,Tamil Nadu,Chennai,808446,22.137014009891004,76.73186185909326,Multi-specialty,Primary health center with basic outpatient services.,General medicine,Outpatient consultation,,https://example.org/facility/49,,100 beds,2005
FAC-00050,Jodhpur Healthcare Center 11,Rajasthan,Jodhpur,805477,23.104194642949153,80.06562894576265,Multi-specialty,Women and child hospital offering maternity and neonatal intensive care.,"Maternity, NICU","Normal delivery, cesarean section, neonatal care","Incubator, fetal monitor",https://example.org/facility/50,,,1995
FAC-00051,Chennai Healthcare Center 12,Tamil Nadu,Chennai,991014,27.684893390001967,76.55416168380088,Multi-specialty,Cancer care hospital with oncology department.,Oncology,"Chemotherapy, radiation therapy",Linear accelerator,https://example.org/facility/51,25,200 beds,2015
FAC-00052,Mumbai Healthcare Center 13,Maharashtra,Mumbai,787926,26.876224130805195,80.92659826211366,General,Women and child hospital offering maternity and neonatal intensive care.,"Maternity, NICU","Normal delivery, cesarean section, neonatal care","Incubator, fetal monitor",https://example.org/facility/52,25,50 beds,1995
FAC-00053,Ahmedabad Healthcare Center 14,Gujarat,Ahmedabad,152657,25.57405794033395,81.17470014455441,General,Primary health center with basic outpatient services.,General medicine,Outpatient consultation,,https://example.org/facility/53,25,50 beds,2015
FAC-00054,Ahmedabad Healthcare Center 15,Gujarat,Ahmedabad,724377,23.172979574653475,79.55250013555779,,Cancer care hospital with oncology department.,Oncology,"Chemotherapy, radiation therapy",Linear accelerator,https://example.org/facility/54,50,200 beds,2015
FAC-00055,Patna Healthcare Center 16,Bihar,Patna,571932,22.591915484650194,74.47239737509659,Super-specialty,Primary health center with basic outpatient services.,General medicine,Outpatient consultation,,https://example.org/facility/55,50,200 beds,1995
FAC-00056,Bengaluru Healthcare Center 17,Karnataka,Bengaluru,181247,27.135448626110566,74.34493578014636,Super-specialty,Primary health center with basic outpatient services.,General medicine,Outpatient consultation,,https://example.org/facility/56,12,,1995
FAC-00057,Patna Healthcare Center 18,Bihar,Patna,501641,26.93949812299052,79.06419141694552,General,Women and child hospital offering maternity and neonatal intensive care.,"Maternity, NICU","Normal delivery, cesarean section, neonatal care","Incubator, fetal monitor",https://example.org/facility/57,25,200 beds,2005
FAC-00058,Ahmedabad Healthcare Center 19,Gujarat,Ahmedabad,535970,20.622657105835852,80.32891169340488,,Primary health center with basic outpatient services.,General medicine,Outpatient consultation,,https://example.org/facility/58,50,,2015
FAC-00059,Chennai Healthcare Center 20,Tamil Nadu,Chennai,468845,22.986126523723833,75.89986648063719,,Multi-specialty hospital with 24/7 emergency and intensive care unit.,"ICU, Emergency, Surgery","Emergency surgery, ventilator support","Ventilators, defibrillator, CT scan",https://example.org/facility/59,50,50 beds,2015
FAC-00060,Mumbai Healthcare Center 1,Maharashtra,Mumbai,557007,24.856419937985002,75.88857203246128,,Renal care center providing dialysis services.,Dialysis,Hemodialysis,Dialysis machines,https://example.org/facility/60,5,200 beds,1995
FAC-00061,Bhopal Healthcare Center 2,Madhya Pradesh,Bhopal,128276,29.069288625867685,77.9189277562791,General,Cancer care hospital with oncology department.,Oncology,"Chemotherapy, radiation therapy",Linear accelerator,https://example.org/facility/61,,200 beds,1995
FAC-00062,Chennai Healthcare Center 3,Tamil Nadu,Chennai,152727,22.601563139193047,75.27352666941734,,Women and child hospital offering maternity and neonatal intensive care.,"Maternity, NICU","Normal delivery, cesarean section, neonatal care","Incubator, fetal monitor",https://example.org/facility/62,12,100 beds,2015
FAC-00063,Bengaluru Healthcare Center 4,Karnataka,Bengaluru,364525,28.34910914912121,76.70306836213047,General,Primary health center with basic outpatient services.,General medicine,Outpatient consultation,,https://example.org/facility/63,12,50 beds,
FAC-00064,Jaipur Healthcare Center 5,Rajasthan,Jaipur,359295,21.993606823625328,72.20380017320332,Multi-specialty,Multi-specialty hospital with 24/7 emergency and intensive care unit.,"ICU, Emergency, Surgery","Emergency surgery, ventilator support","Ventilators, defibrillator, CT scan",https://example.org/facility/64,5,50 beds,2015
FAC-00065,Jodhpur Healthcare Center 6,Rajasthan,Jodhpur,328552,24.65033983435221,74.56243696562187,Super-specialty,Cancer care hospital with oncology department.,Oncology,"Chemotherapy, radiation therapy",Linear accelerator,https://example.org/facility/65,5,,1995
FAC-00066,Bengaluru Healthcare Center 7,Karnataka,Bengaluru,706794,20.25678425497466,75.11957244394695,,Multi-specialty hospital with 24/7 emergency and intensive care unit.,"ICU, Emergency, Surgery","Emergency surgery, ventilator support","Ventilators, defibrillator, CT scan",https://example.org/facility/66,25,50 beds,
FAC-00067,Bhopal Healthcare Center 8,Madhya Pradesh,Bhopal,206851,26.97193002495772,75.01582685487666,General,Women and child hospital offering maternity and neonatal intensive care.,"Maternity, NICU","Normal delivery, cesarean section, neonatal care","Incubator, fetal monitor",https://example.org/facility/67,50,,2005
FAC-00068,Ahmedabad Healthcare Center 9,Gujarat,Ahmedabad,793655,23.705708762180564,77.05960789677079,Super-specialty,Primary health center with basic outpatient services.,General medicine,Outpatient consultation,,https://example.org/facility/68,,200 beds,2015
FAC-00069,Jodhpur Healthcare Center 10,Rajasthan,Jodhpur,479781,26.35585106101446,80.28707311002458,Multi-specialty,Primary health center with basic outpatient services.,General medicine,Outpatient consultation,,https://example.org/facility/69,25,50 beds,2005
FAC-00070,Bhopal Healthcare Center 11,Madhya Pradesh,Bhopal,912270,24.834975038831963,76.35574493003894,Super-specialty,Cancer care hospital with oncology department.,Oncology,"Chemotherapy, radiation therapy",Linear accelerator,https://example.org/facility/70,12,50 beds,
FAC-00071,Bengaluru Healthcare Center 12,Karnataka,Bengaluru,355709,27.504762818270063,77.69849644678322,,Primary health center with basic outpatient services.,General medicine,Outpatient consultation,,https://example.org/facility/71,12,,2015
FAC-00072,Lucknow Healthcare Center 13,Uttar Pradesh,Lucknow,611233,22.12119850179739,79.97832356828097,Super-specialty,Women and child hospital offering maternity and neonatal intensive care.,"Maternity, NICU","Normal delivery, cesarean section, neonatal care","Incubator, fetal monitor",https://example.org/facility/72,12,100 beds,
FAC-00073,Ahmedabad Healthcare Center 14,Gujarat,Ahmedabad,189771,22.4135605037268,76.06428124670519,Multi-specialty,Women and child hospital offering maternity and neonatal intensive care.,"Maternity, NICU","Normal delivery, cesarean section, neonatal care","Incubator, fetal monitor",https://example.org/facility/73,25,200 beds,2015
FAC-00074,Jaipur Healthcare Center 15,Rajasthan,Jaipur,408528,22.2159640047253,78.91787155295202,Super-specialty,Multi-specialty hospital with 24/7 emergency and intensive care unit.,"ICU, Emergency, Surgery","Emergency surgery, ventilator support","Ventilators, defibrillator, CT scan",https://example.org/facility/74,50,100 beds,2015
FAC-00075,Ahmedabad Healthcare Center 16,Gujarat,Ahmedabad,460455,24.255038127052146,79.4593543671361,Super-specialty,Cancer care hospital with oncology department.,Oncology,"Chemotherapy, radiation therapy",Linear accelerator,https://example.org/facility/75,12,200 beds,2005
FAC-00076,Bengaluru Healthcare Center 17,Karnataka,Bengaluru,341736,21.20655884752306,73.92584293451517,General,Renal care center providing dialysis services.,Dialysis,Hemodialysis,Dialysis machines,https://example.org/facility/76,50,50 beds,1995
FAC-00077,Mumbai Healthcare Center 18,Maharashtra,Mumbai,389930,27.245850010930518,81.76607022883057,Super-specialty,Primary health center with basic outpatient services.,General medicine,Outpatient consultation,,https://example.org/facility/77,,50 beds,2005
FAC-00078,Mumbai Healthcare Center 19,Maharashtra,Mumbai,288158,23.022675887804354,79.08018485711031,Multi-specialty,Renal care center providing dialysis services.,Dialysis,Hemodialysis,Dialysis machines,https://example.org/facility/78,12,,
FAC-00079,Ahmedabad Healthcare Center 20,Gujarat,Ahmedabad,831295,29.440896147957407,78.37869655105928,,Renal care center providing dialysis services.,Dialysis,Hemodialysis,Dialysis machines,https://example.org/facility/79,,,2005
FAC-00080,Chennai Healthcare Center 1,Tamil Nadu,Chennai,561865,23.407059325602923,81.65497643138295,Super-specialty,Primary health center with basic outpatient services.,General medicine,Outpatient consultation,,https://example.org/facility/80,25,,
FAC-00081,Kolkata Healthcare Center 2,West Bengal,Kolkata,177680,25.77021156470818,78.86451018256017,Multi-specialty,Primary health center with basic outpatient services.,General medicine,Outpatient consultation,,https://example.org/facility/81,5,100 beds,
FAC-00082,Mumbai Healthcare Center 3,Maharashtra,Mumbai,685181,27.644434453261944,78.06317651242964,Multi-specialty,Multi-specialty hospital with 24/7 emergency and intensive care unit.,"ICU, Emergency, Surgery","Emergency surgery, ventilator support","Ventilators, defibrillator, CT scan",https://example.org/facility/82,50,200 beds,2015
FAC-00083,Chennai Healthcare Center 4,Tamil Nadu,Chennai,717113,29.90031260466798,75.0538024431936,General,Renal care center providing dialysis services.,Dialysis,Hemodialysis,Dialysis machines,https://example.org/facility/83,50,,1995
FAC-00084,Mumbai Healthcare Center 5,Maharashtra,Mumbai,792509,20.811874654669843,74.39865177674693,General,Renal care center providing dialysis services.,Dialysis,Hemodialysis,Dialysis machines,https://example.org/facility/84,5,,2015
FAC-00085,Chennai Healthcare Center 6,Tamil Nadu,Chennai,592738,22.912592890310275,74.31476234556025,Super-specialty,Cancer care hospital with oncology department.,Oncology,"Chemotherapy, radiation therapy",Linear accelerator,https://example.org/facility/85,25,,1995
FAC-00086,Bengaluru Healthcare Center 7,Karnataka,Bengaluru,793300,28.039056802814336,73.97819213756465,General,Cancer care hospital with oncology department.,Oncology,"Chemotherapy, radiation therapy",Linear accelerator,https://example.org/facility/86,50,50 beds,1995
FAC-00087,Bengaluru Healthcare Center 8,Karnataka,Bengaluru,174878,20.59638039513847,79.92628566232412,Super-specialty,Women and child hospital offering maternity and neonatal intensive care.,"Maternity, NICU","Normal delivery, cesarean section, neonatal care","Incubator, fetal monitor",https://example.org/facility/87,25,,2015
FAC-00088,Bengaluru Healthcare Center 9,Karnataka,Bengaluru,385470,25.004721771179256,76.93795219345084,General,Primary health center with basic outpatient services.,General medicine,Outpatient consultation,,https://example.org/facility/88,50,,2015
FAC-00089,Lucknow Healthcare Center 10,Uttar Pradesh,Lucknow,362529,20.258648923883353,74.28924415721826,General,Cancer care hospital with oncology department.,Oncology,"Chemotherapy, radiation therapy",Linear accelerator,https://example.org/facility/89,12,,1995
FAC-00090,Chennai Healthcare Center 11,Tamil Nadu,Chennai,783157,24.42229404420203,74.78156572442421,,Cancer care hospital with oncology department.,Oncology,"Chemotherapy, radiation therapy",Linear accelerator,https://example.org/facility/90,25,,2015
FAC-00091,Lucknow Healthcare Center 12,Uttar Pradesh,Lucknow,449499,23.210582559565715,73.04599884582558,Multi-specialty,Primary health center with basic outpatient services.,General medicine,Outpatient consultation,,https://example.org/facility/91,12,200 beds,2015
FAC-00092,Bengaluru Healthcare Center 13,Karnataka,Bengaluru,953085,27.60499772057657,72.36697130313709,General,Primary health center with basic outpatient services.,General medicine,Outpatient consultation,,https://example.org/facility/92,12,100 beds,2005
FAC-00093,Jodhpur Healthcare Center 14,Rajasthan,Jodhpur,639593,28.24927203268701,72.01151067448112,,Primary health center with basic outpatient services.,General medicine,Outpatient consultation,,https://example.org/facility/93,25,,1995
FAC-00094,Ahmedabad Healthcare Center 15,Gujarat,Ahmedabad,752878,27.564431540555738,78.2540874214501,General,Renal care center providing dialysis services.,Dialysis,Hemodialysis,Dialysis machines,https://example.org/facility/94,5,100 beds,1995
FAC-00095,Bengaluru Healthcare Center 16,Karnataka,Bengaluru,832168,24.847117969499983,72.28869442441663,Multi-specialty,Primary health center with basic outpatient services.,General medicine,Outpatient consultation,,https://example.org/facility/95,5,100 beds,
FAC-00096,Ahmedabad Healthcare Center 17,Gujarat,Ahmedabad,197736,22.247006594557845,80.41405681617036,General,Primary health center with basic outpatient services.,General medicine,Outpatient consultation,,https://example.org/facility/96,25,,1995
FAC-00097,Chennai Healthcare Center 18,Tamil Nadu,Chennai,633590,27.05411629925854,76.15490342935352,,Renal care center providing dialysis services.,Dialysis,Hemodialysis,Dialysis machines,https://example.org/facility/97,25,50 beds,2015
FAC-00098,Ahmedabad Healthcare Center 19,Gujarat,Ahmedabad,502219,21.906103709479282,77.993775986749,Multi-specialty,Women and child hospital offering maternity and neonatal intensive care.,"Maternity, NICU","Normal delivery, cesarean section, neonatal care","Incubator, fetal monitor",https://example.org/facility/98,,100 beds,2015
FAC-00099,Lucknow Healthcare Center 20,Uttar Pradesh,Lucknow,380150,28.205494731855783,74.82838983282826,Super-specialty,Cancer care hospital with oncology department.,Oncology,"Chemotherapy, radiation therapy",Linear accelerator,https://example.org/facility/99,50,200 beds,1995
FAC-00100,Chennai Healthcare Center 1,Tamil Nadu,Chennai,607868,23.451239416930076,77.51917417070811,,Cancer care hospital with oncology department.,Oncology,"Chemotherapy, radiation therapy",Linear accelerator,https://example.org/facility/100,25,100 beds,1995
FAC-00101,Mumbai Healthcare Center 2,Maharashtra,Mumbai,501574,22.33562446057893,79.75544475099258,General,Cancer care hospital with oncology department.,Oncology,"Chemotherapy, radiation therapy",Linear accelerator,https://example.org/facility/101,12,200 beds,2015
FAC-00102,Kolkata Healthcare Center 3,West Bengal,Kolkata,619389,29.648244383709105,73.26246269809388,Super-specialty,Women and child hospital offering maternity and neonatal intensive care.,"Maternity, NICU","Normal delivery, cesarean section, neonatal care","Incubator, fetal monitor",https://example.org/facility/102,,200 beds,
FAC-00103,Ahmedabad Healthcare Center 4,Gujarat,Ahmedabad,116093,27.224438275706426,76.09978619746364,Multi-specialty,Primary health center with basic outpatient services.,General medicine,Outpatient consultation,,https://example.org/facility/103,,200 beds,2005
FAC-00104,Lucknow Healthcare Center 5,Uttar Pradesh,Lucknow,826353,23.974833238857734,72.80315320579449,Super-specialty,Cancer care hospital with oncology department.,Oncology,"Chemotherapy, radiation therapy",Linear accelerator,https://example.org/facility/104,50,200 beds,2005
FAC-00105,Chennai Healthcare Center 6,Tamil Nadu,Chennai,137642,26.174594616027232,74.34770243102021,Super-specialty,Cancer care hospital with oncology department.,Oncology,"Chemotherapy, radiation therapy",Linear accelerator,https://example.org/facility/105,5,,2015
FAC-00106,Jodhpur Healthcare Center 7,Rajasthan,Jodhpur,565230,21.66364786729225,74.99466080244065,General,Multi-specialty hospital with 24/7 emergency and intensive care unit.,"ICU, Emergency, Surgery","Emergency surgery, ventilator support","Ventilators, defibrillator, CT scan",https://example.org/facility/106,,100 beds,
FAC-00107,Bengaluru Healthcare Center 8,Karnataka,Bengaluru,493049,24.306867878554,74.44197432183968,,Renal care center providing dialysis services.,Dialysis,Hemodialysis,Dialysis machines,https://example.org/facility/107,50,50 beds,1995
